County,Highway Type,Total,Fatality,Injury
MERCED,Freeway,6,2,4
MERCED,One-Way City Street,0,0,0
MERCED,TOTAL,20,4,16
MODOC,Conventional,0,0,0
MODOC,Expressway,0,0,0
MODOC,Freeway,0,0,0
MODOC,One-Way City Street,0,0,0
MODOC,TOTAL,0,0,0
MONO,Conventional,0,0,0
MONO,Expressway,0,0,0
MONO,Freeway,0,0,0
MONO,One-Way City Street,0,0,0
MONO,TOTAL,0,0,0
MONTEREY,Conventional,4,0,4
MONTEREY,Expressway,2,2,0
MONTEREY,Freeway,1,0,1
MONTEREY,One-Way City Street,0,0,0
MONTEREY,TOTAL,7,2,5
NAPA,Conventional,5,1,4
NAPA,Expressway,8,1,7
NAPA,Freeway,0,0,0
NAPA,One-Way City Street,0,0,0
NAPA,TOTAL,13,2,11
NEVADA,Conventional,4,1,3
NEVADA,Expressway,1,0,1
NEVADA,Freeway,4,0,4
NEVADA,One-Way City Street,0,0,0
NEVADA,TOTAL,9,1,8
ORANGE,Conventional,55,12,43
ORANGE,Expressway,0,0,0
ORANGE,Freeway,65,15,50
ORANGE,One-Way City Street,0,0,0
ORANGE,TOTAL,120,27,93
PLACER,Conventional,6,0,6
PLACER,Expressway,6,1,5
PLACER,Freeway,7,0,7
