County,Highway Type,Total,Fatality,Injury
SAN MATEO,Expressway,1,0,1
SAN MATEO,Freeway,2,0,2
SAN MATEO,One-Way City Street,0,0,0
SAN MATEO,TOTAL,32,1,31
SANTA BARBARA,Conventional,16,0,16
SANTA BARBARA,Expressway,3,0,3
SANTA BARBARA,Freeway,6,0,6
SANTA BARBARA,One-Way City Street,0,0,0
SANTA BARBARA,TOTAL,25,0,25
SANTA CLARA,Conventional,23,0,23
SANTA CLARA,Expressway,0,0,0
SANTA CLARA,Freeway,20,2,18
SANTA CLARA,One-Way City Street,0,0,0
SANTA CLARA,TOTAL,43,2,41
SANTA CRUZ,Conventional,15,0,15
SANTA CRUZ,Expressway,3,0,3
SANTA CRUZ,Freeway,1,0,1
SANTA CRUZ,One-Way City Street,0,0,0
SANTA CRUZ,TOTAL,19,0,19
SHASTA,Conventional,4,1,3
SHASTA,Expressway,0,0,0
SHASTA,Freeway,0,0,0
SHASTA,One-Way City Street,0,0,0
SHASTA,TOTAL,4,1,3
SIERRA,Conventional,0,0,0
SIERRA,Expressway,0,0,0
SIERRA,Freeway,0,0,0
SIERRA,One-Way City Street,0,0,0
SIERRA,TOTAL,0,0,0
SISKIYOU,Conventional,0,0,0
SISKIYOU,Expressway,0,0,0
SISKIYOU,Freeway,0,0,0
SISKIYOU,One-Way City Street,0,0,0
SISKIYOU,TOTAL,0,0,0
SOLANO,Conventional,1,0,1
SOLANO,Expressway,0,0,0
SOLANO,Freeway,1,0,1
SOLANO,One-Way City Street,0,0,0
SOLANO,TOTAL,2,0,2
SONOMA,Conventional,5,0,5
SONOMA,Expressway,0,0,0
SONOMA,Freeway,1,0,1
SONOMA,One-Way City Street,0,0,0
SONOMA,TOTAL,6,0,6
STANISLAUS,Conventional,19,2,17
STANISLAUS,Expressway,0,0,0
STANISLAUS,Freeway,1,0,1
STANISLAUS,One-Way City Street,0,0,0
STANISLAUS,TOTAL,20,2,18
SUTTER,Conventional,2,0,2
SUTTER,Expressway,1,0,1
SUTTER,Freeway,0,0,0
SUTTER,One-Way City Street,0,0,0
SUTTER,TOTAL,3,0,3
TEHAMA,Conventional,3,0,3
TEHAMA,Expressway,0,0,0
TEHAMA,Freeway,0,0,0
TEHAMA,One-Way City Street,0,0,0
TEHAMA,TOTAL,3,0,3
TRINITY,Conventional,1,0,1
