OBJECTID,route_id,direction_id,time_period,speed_mph,district_name,org_id,agency,base64_url,route_name,Shape_Length
40,564,0,all_day,59.53833142,09 - Bishop,recRajLNJI206nnAr,Eastern Sierra Transit Authority,aHR0cHM6Ly9kYXRhLnRyaWxsaXVtdHJhbnNpdC5jb20vZ3Rmcy9lYXN0ZXJuc2llcnJhLWNhLXVzL2Vhc3Rlcm5zaWVycmEtY2EtdXMuemlw,Lone Pine Express,0.950142393240054
41,3,0,offpeak,12.50243998,04 - Oakland,recot6qBamlOoLcrM,City of Fairfield,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1GUw==,FTC/Solano Town Center/Fairfield Walmart,0.106714485296371
42,3,0,peak,12.05294521,04 - Oakland,recot6qBamlOoLcrM,City of Fairfield,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1GUw==,FTC/Solano Town Center/Fairfield Walmart,0.106714485296371
43,3,0,all_day,12.24198865,04 - Oakland,recot6qBamlOoLcrM,City of Fairfield,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1GUw==,FTC/Solano Town Center/Fairfield Walmart,0.106714485296371
44,3,1,offpeak,13.51183678,04 - Oakland,recot6qBamlOoLcrM,City of Fairfield,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1GUw==,FTC/Solano Town Center/Fairfield Walmart,0.0819319238689321
45,3,1,peak,13.22970593,04 - Oakland,recot6qBamlOoLcrM,City of Fairfield,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1GUw==,FTC/Solano Town Center/Fairfield Walmart,0.0819319238689321
46,3,1,all_day,13.33892558,04 - Oakland,recot6qBamlOoLcrM,City of Fairfield,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1GUw==,FTC/Solano Town Center/Fairfield Walmart,0.0819319238689321
47,10,1,offpeak,16.33093067,04 - Oakland,rec9RGrya9SjWYp2p,Napa Valley Transportation Authority,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1WTg==,Up Valley Connector,0.491472138259347
48,10,1,peak,21.13847645,04 - Oakland,rec9RGrya9SjWYp2p,Napa Valley Transportation Authority,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1WTg==,Up Valley Connector,0.491472138259347
49,10,1,all_day,18.09620138,04 - Oakland,rec9RGrya9SjWYp2p,Napa Valley Transportation Authority,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1WTg==,Up Valley Connector,0.491472138259347
50,10,0,offpeak,19.05931564,04 - Oakland,rec9RGrya9SjWYp2p,Napa Valley Transportation Authority,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1WTg==,Up Valley Connector,0.511749812574877
51,10,0,peak,21.69594475,04 - Oakland,rec9RGrya9SjWYp2p,Napa Valley Transportation Authority,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1WTg==,Up Valley Connector,0.511749812574877
52,10,0,all_day,20.68972598,04 - Oakland,rec9RGrya9SjWYp2p,Napa Valley Transportation Authority,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1WTg==,Up Valley Connector,0.511749812574877
53,2041,1,offpeak,45.21755014,06 - Fresno,rec6gNibVKjDVy4aX,City of Visalia,aHR0cHM6Ly92aXNhbGlhdHJhbnNpdC5pbmZvL0dURlM=, ,0.276166250429801
54,2041,1,peak,42.2294512,06 - Fresno,rec6gNibVKjDVy4aX,City of Visalia,aHR0cHM6Ly92aXNhbGlhdHJhbnNpdC5pbmZvL0dURlM=, ,0.276166250429801
55,2041,1,all_day,43.46029759,06 - Fresno,rec6gNibVKjDVy4aX,City of Visalia,aHR0cHM6Ly92aXNhbGlhdHJhbnNpdC5pbmZvL0dURlM=, ,0.276166250429801
56,580X,1,offpeak,8.85046155,04 - Oakland,recoX7qMhlPrgfuz3,"Golden Gate Bridge, Highway and Transportation District",aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1HRw==,Del Norte BART Station - San Rafael Express,0.225733647403837
57,580X,1,peak,24.57526248,04 - Oakland,recoX7qMhlPrgfuz3,"Golden Gate Bridge, Highway and Transportation District",aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1HRw==,Del Norte BART Station - San Rafael Express,0.225733647403837
58,580X,1,all_day,17.06185395,04 - Oakland,recoX7qMhlPrgfuz3,"Golden Gate Bridge, Highway and Transportation District",aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1HRw==,Del Norte BART Station - San Rafael Express,0.225733647403837
59,580X,0,peak,33.05388756,04 - Oakland,recoX7qMhlPrgfuz3,"Golden Gate Bridge, Highway and Transportation District",aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1HRw==,Del Norte BART Station - San Rafael Express,0.227574965181328
